Address,Ins-Cycle,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113
0x4C,addi x6 x10 0,,,,,,,,,,,,,,,IF,ID,,,,,,,,,,IF,ID,,,,,,,,,,IF,ID,,,,,,,,,,,IF,ID,EX,MEM,WB,,,,IF,ID,EX,MEM,WB,,,,IF,ID,EX,MEM,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x50,lw x10 0(x2),,,,,,,,,,,,,,,,IF,,,,,,,,,,,IF,,,,,,,,,,,IF,,,,,,,,,,,,IF,ID,EX,MEM,WB,,,,IF,ID,EX,MEM,WB,,,,IF,ID,EX,MEM,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x54,lw x1 8(x2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,ID,EX,MEM,WB,,,,IF,ID,EX,MEM,WB,,,,IF,ID,EX,MEM,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x58,addi x2 x2 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,ID,EX,MEM,WB,,,,IF,ID,EX,MEM,WB,,,,IF,ID,EX,MEM,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x5C,mul x10 x10 x6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,ID,EX,MEM,WB,,,,IF,ID,EX,MEM,WB,,,,IF,ID,EX,MEM,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x60,jalr x0 x1 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,ID,EX,MEM,WB,,,,IF,ID,EX,MEM,WB,,,,IF,ID,EX,MEM,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x64,addi x5 x10 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,ID,,,,,,,IF,ID,,,,,,,IF,ID,,,,,,,IF,ID,EX,MEM,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x68,addi x6 x11 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,,,,,,,,IF,,,,,,,,IF,,,,,,,,IF,ID,EX,MEM,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x6C,auipc x10 0x65536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,ID,EX,MEM,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x70,addi x10 x10 -104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,ID,EX,MEM,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x74,addi x17 x0 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,ID,EX,MEM,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x78,ecall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,ID,EX,-,-,MEM,WB,,,,,,,,,,,,,,,,,,,,,,,,
0x7C,addi x10 x5 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,ID,-,-,EX,MEM,WB,,,,,,,,,,,,,,,,,,,,,,,
0x80,addi x17 x0 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,-,-,ID,EX,MEM,WB,,,,,,,,,,,,,,,,,,,,,,
0x84,ecall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,ID,EX,-,-,MEM,WB,,,,,,,,,,,,,,,,,,,
0x88,auipc x10 0x65536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,ID,-,-,EX,MEM,WB,,,,,,,,,,,,,,,,,,
0x8C,addi x10 x10 -112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,-,-,ID,EX,MEM,WB,,,,,,,,,,,,,,,,,
0x90,addi x17 x0 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,ID,EX,MEM,WB,,,,,,,,,,,,,,,,
0x94,ecall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,ID,EX,-,-,MEM,WB,,,,,,,,,,,,,
0x98,addi x10 x6 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,ID,-,-,EX,MEM,WB,,,,,,,,,,,,
0x9C,addi x17 x0 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,-,-,ID,EX,MEM,WB,,,,,,,,,,,
0xA0,ecall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,ID,EX,-,-,MEM,WB,,,,,,,,
0xA4,jalr x0 x1 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,ID,-,-,EX,MEM,WB,,,,,,,
